x,y,value
Monday,0:00,3
Monday,1:00,10
Monday,2:00,5
Monday,3:00,6
Monday,4:00,0
Monday,5:00,1
Monday,6:00,0
Monday,7:00,0
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,0
Monday,16:00,0
Monday,17:00,0
Monday,18:00,1
Monday,19:00,1
Monday,20:00,1
Monday,21:00,2
Monday,22:00,4
Monday,23:00,0
Tuesday,0:00,6
Tuesday,1:00,6
Tuesday,2:00,5
Tuesday,3:00,2
Tuesday,4:00,3
Tuesday,5:00,1
Tuesday,6:00,1
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,1
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,1
Tuesday,18:00,0
Tuesday,19:00,1
Tuesday,20:00,2
Tuesday,21:00,3
Tuesday,22:00,2
Tuesday,23:00,4
Wednesday,0:00,6
Wednesday,1:00,6
Wednesday,2:00,3
Wednesday,3:00,2
Wednesday,4:00,2
Wednesday,5:00,0
Wednesday,6:00,0
Wednesday,7:00,0
Wednesday,8:00,0
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,1
Wednesday,16:00,0
Wednesday,17:00,0
Wednesday,18:00,2
Wednesday,19:00,0
Wednesday,20:00,3
Wednesday,21:00,4
Wednesday,22:00,2
Wednesday,23:00,3
Thursday,0:00,3
Thursday,1:00,6
Thursday,2:00,5
Thursday,3:00,4
Thursday,4:00,2
Thursday,5:00,0
Thursday,6:00,0
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,0
Thursday,16:00,0
Thursday,17:00,0
Thursday,18:00,0
Thursday,19:00,1
Thursday,20:00,5
Thursday,21:00,1
Thursday,22:00,0
Thursday,23:00,3
Friday,0:00,2
Friday,1:00,5
Friday,2:00,5
Friday,3:00,3
Friday,4:00,2
Friday,5:00,0
Friday,6:00,0
Friday,7:00,0
Friday,8:00,0
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,0
Friday,16:00,0
Friday,17:00,0
Friday,18:00,2
Friday,19:00,1
Friday,20:00,1
Friday,21:00,0
Friday,22:00,4
Friday,23:00,2
Saturday,0:00,2
Saturday,1:00,4
Saturday,2:00,9
Saturday,3:00,2
Saturday,4:00,2
Saturday,5:00,2
Saturday,6:00,1
Saturday,7:00,0
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,1
Saturday,14:00,0
Saturday,15:00,0
Saturday,16:00,0
Saturday,17:00,0
Saturday,18:00,0
Saturday,19:00,3
Saturday,20:00,2
Saturday,21:00,2
Saturday,22:00,3
Saturday,23:00,5
Sunday,0:00,4
Sunday,1:00,4
Sunday,2:00,2
Sunday,3:00,4
Sunday,4:00,0
Sunday,5:00,0
Sunday,6:00,0
Sunday,7:00,0
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,1
Sunday,14:00,0
Sunday,15:00,0
Sunday,16:00,0
Sunday,17:00,0
Sunday,18:00,3
Sunday,19:00,2
Sunday,20:00,3
Sunday,21:00,3
Sunday,22:00,1
Sunday,23:00,4
