,x,y,value
74633,Sat,13:00,4
88348,Sat,15:00,1
119355,Mon,6:00,1
160206,Thu,6:00,2
202862,Thu,14:00,1
356298,Wed,15:00,2
378682,Mon,9:00,1
475042,Sun,10:00,1
498571,Tue,16:00,1
568136,Mon,16:00,1
622533,Fri,8:00,3
723430,Thu,16:00,2
728945,Sun,17:00,1
731873,Fri,16:00,1
783958,Thu,15:00,1
821436,Tue,7:00,1
822102,Sun,11:00,3
990552,Sun,12:00,1
1009480,Sun,8:00,3
1017746,Fri,6:00,2
1186177,Wed,16:00,1
1254616,Sun,13:00,2
1554866,Sun,14:00,2
1733665,Fri,13:00,1
1783394,Sat,12:00,1
2079261,Sun,6:00,1
2176839,Tue,20:00,1
2199681,Sat,11:00,2
2205189,Sat,8:00,4
2226516,Thu,9:00,1
2242027,Thu,8:00,1
2281283,Tue,19:00,1
2581552,Fri,11:00,1
2750670,Fri,14:00,3
2899062,Sun,15:00,2
2958248,Mon,15:00,1
3029758,Mon,12:00,2
3068594,Fri,17:00,1
3199060,Fri,18:00,2
3236753,Wed,17:00,1
3238705,Sun,9:00,1
3241406,Wed,19:00,1
3260185,Tue,6:00,1
3378637,Fri,10:00,1
3396912,Sat,7:00,2
3471471,Wed,12:00,2
3500336,Sat,14:00,1
3757419,Wed,20:00,1