	address	RestaurantID	Checkins	Recommended	Name	range	Rating	Reviews
0	1825 E Baseline Rd.	M9fOuiesoUSaouOqNQ3U2w	277.0	Worth Visiting	Wong's Place	4.0	3.9	149
1	2145 E University Dr	IqsQRoiVE535Z2JR-7xoWQ	41.0	Its your say finally!	Jack in the Box	2.0	2.1	12
2	149 S Farmer	aiX_WP7NKPTdF9CfI-M-wg	2393.0	Jewel of a place!	Culinary Dropout	4.0	4.0	984
3	2602 W Southern Ave	ObV7olsEsNYjuMGNJ75jNw	39.0	At your own risk	Vaqueros Carne Asada	4.0	3.7	17
4	130 E University Dr, Ste C	VtQxGoCzAFSzCb1JSFV2bQ	37.0	At your own risk	Subway	4.0	3.6	5
5	1342 W Warner Rd	etylBefPKEMjm9nS9c1qiw	87.0	Its your say finally!	Port of Subs	3.0	2.7	36
6	2700 S Mill Ave	TAoN9nsibXOxsOnnG7Kd_g	233.0	Worth Visiting	Riazzi's Italian Garden	4.0	3.6	141
7	6402 S Rural Rd	px5RbIZm3rxRzi-g2f83KQ	82.0	Its your say finally!	Burger King	2.0	1.8	24
8	111 W University Dr	2rLuOMi6Q6zzqUU8ltreSA	236.0	Must Visit!	First Watch - Breakfast, Brunch & Lunch	5.0	4.5	140
9	521 S College Ave, Ste 110	ySRaNkXgv0jmuT4HhmgSog	16.0	At your own risk	WisePies Pizza & Salad	4.0	3.9	14
10	4715 S Rural Rd	H-gllDEH0DHqE-HmzdHtKg	16.0	Its your say finally!	Jersey Mike's Subs	3.0	2.5	22
11	655 W Warner Rd	9hPqmpOpH-POC0D0nlix3A	84.0	At your own risk	Silver Mine Subs	4.0	3.7	14
12	33 W Baseline Rd	ef28eNdWA3g7OMsnf_fbSA	13.0	Worth Visiting	Water Ice Cream & More	5.0	5.0	5
13	690 S Mill Ave	qMJyOW1FdPOf8sli8DIq_A	329.0	Worth Visiting	Délice Bistro	4.0	3.5	174
14	6428 S Mcclintock Rd, Ste 104	AtSEe-B2mFmLFHBf4PLTrw	1331.0	Must Visit!	Wildflower Bread Company	4.0	3.9	234
15	15 E 6th St	L2iT7pipc455Tgpbo35_mw	953.0	At your own risk	CASA Sunbá	3.0	2.8	220
16	1335 W University Dr, Ste 6	EuPaczO6rMpDMrn-GtE_eA	301.0	Worth Visiting	Tokyo Stop	4.0	3.8	81
17	2535 E University Dr	fQclKmk5G2_g98cDNPvj0g	109.0	Worth Visiting	El Tlacoyo	4.0	4.2	49
18	2700 W Baseline Rd	HvsTnw0GhhQaBuB45FJJag	62.0	At your own risk	Subway	4.0	3.7	14
19	1831 E Baseline Rd	UK2sK9SkdBdK1uxv8TcWGg	21.0	At your own risk	Chuy's Mesquite Broiler	3.0	3.0	13
20	920 E University Dr, Ste 103	MqJCtE12yfzQZCg8KGzNTw	13.0	At your own risk	Nick's NY Pizzeria	3.0	3.3	27
21	5350 S Lakeshore Dr	Gw-ozqLSHoP3BQPKaiXJGg	483.0	Must Visit!	The Watershed	3.0	3.1	380
22	1035 E Lemon St	p6FPcgLymnpk_gAyQuW_Mw	81.0	Worth Visiting	El Paisano Market and Laila Check Cashing	5.0	4.6	70
23	2000 E Rio Salado Pkwy, Ste 1215	PK_yJS579FjaNiCkGGa6iA	284.0	Worth Visiting	MAD Greens - Tempe	4.0	3.7	99
24	2020 E Elliot Rd, Suite 101	-Gy0BAMgRN4sGlY7theqxQ	304.0	Worth Visiting	MOD Pizza	4.0	4.2	90
25	5000 S Arizona Mills Cir	kWNdx7NBa5Kx2NDKWYzUWA	21.0	Its your say finally!	South Philly Steak & Fries	1.0	1.5	32
26	3401 S McClintock Dr	Cwv0Mv70w8fNMd-ApwSnUQ	26.0	At your own risk	Mandalay Noodle World Restaurant	3.0	3.0	14
27	601 W Rio Salado Pkwy	Dz5NDfPpXcID1qJbEfre4g	141.0	Worth Visiting	Press Coffee	4.0	4.5	50
28	555 North Scottsdale Rd, Ste 103	tamr4J75GguGhF1hm1wEaA	496.0	At your own risk	Jersey Mike's Subs	3.0	3.4	85
29	515 W Warner Rd	xJxfGReFZqZ1DDppESxMVA	63.0	Its your say finally!	Wendy's	2.0	1.6	11
30	502 S College Ave	pTCyou_1EKkm1MUeejFLag	99.0	Worth Visiting	Royal Coffee Bar and Roasting	4.0	4.5	47
31	933 E University Dr, Ste 115	dmLMOm9mXO-Hd41UxihOqQ	144.0	At your own risk	Tsom Vegetarian Flavors	4.0	3.6	54
32	525 S Mill Ave	JwyH48vqADWY6HieOMDxgQ	711.0	Must Visit!	My Big Fat Greek Restaurant	4.0	3.6	267
33	2323 W 14th St	qYGJCgG24rQlNwWkFFZ3og	116.0	At your own risk	Cafe @ Rio	4.0	4.1	9
34	9954 S Rural Rd	g5Y4swQmgMPjeIyBNEo1xA	18.0	At your own risk	Arby's	3.0	3.2	9
35	655 W Warner Rd, Ste 114	5lZpyuWjC7L9uJfLfqIQ_w	168.0	Worth Visiting	Hachi Ramen	4.0	4.1	129
36	115 E Baseline Rd, Ste 5	tduDcM1hWHPeyQ9SRPTQmQ	270.0	Worth Visiting	Tom's BBQ	3.0	3.5	170
37	690 South Mill Ave	ycd3DfIYG-oAiyHXPPZjBA	106.0	At your own risk	Pita Pit	3.0	2.9	55
38	909 E Elliot Rd	V6WEgXWlYmOnH0a1FrH43A	8.0	At your own risk	John Henry's	3.0	3.2	14
39	222 S Mill Ave, Ste 125	FFy_b5ylhCYUrAjbJSEvOw	388.0	At your own risk	Which Wich	4.0	3.6	48
40	1831 E Baseline Rd	lpD3xIYuVaQA8xRSlKwn-Q	270.0	At your own risk	La Fonda Mexican Restaurant & Cantina	3.0	3.0	128
41	403 W University Dr	QYIhMNwxXejDoCr-F1BxDg	1064.0	Must Visit!	Thai Basil	4.0	4.1	362
42	922 E Apache Blvd, Ste 106	1zgcF2M_rXYdK03BTewM4g	9.0	Its your say finally!	NY Bagels	3.0	2.6	9
43	615 S College Ave	qgAZPDQStZP_Y5XTiQ6UqA	1964.0	Jewel of a place!	Postino Annex	4.0	4.3	513
44	1219 W Baseline Rd	zS3-CKZVVvUYvasJnAg-aA	333.0	Worth Visiting	Poliberto's Taco Shop	4.0	4.0	168
45	1734 E Southern Ave	yeTKcKUlTq-W7EJ5hPkqbw	653.0	Worth Visiting	Outback Steakhouse	3.0	3.5	131
46	2210 N Scottsdale Rd	SzHP4_x-ECuBDVK6npb-Ow	137.0	At your own risk	Lo Cascio's Italian Restaurant	3.0	3.4	64
47	2000 E Rio Salado Pkwy, Ste 1064	Dk3H2CPh_yb6CaN11XEFMA	241.0	Worth Visiting	Sydney's Cafe & Market	4.0	4.1	114
48	933 E University Dr	Yoc9_4sv6AT1AIohPPiGbA	76.0	At your own risk	Chennai Express	4.0	3.6	38
49	2000 E Rio Salado Pkwy, Ste 1213	x60RbvQEFlvImnqzuBVk3Q	224.0	Worth Visiting	Nekter Juice Bar	4.0	4.2	61
50	1730 E Warner Rd	ZrucPqD_AGAZM53BwtsdTw	25.0	At your own risk	Rosatis Pizza	3.0	3.4	53
51	105 W University Dr	_uMRu3765QYo0Qg1z1LKqw	215.0	Worth Visiting	Blaze Fast-Fire'd Pizza	4.0	4.4	113
52	1804 E Southern Ave, Ste 1	rhKzcgMm8CDhu7RZz_XxqQ	410.0	Must Visit!	Sahara Middle Eastern Restaurant	4.0	4.2	173
53	810 Forest Ave	28hruDLwF_5s0QtDWH4rpg	27.0	At your own risk	Charlies Terrace Cafe	4.0	4.0	5
54	715 S Rural Rd	PF6IipxqHx0i2cFBAraXPw	88.0	At your own risk	Cafe Rio	3.0	3.3	46
55	1870 E Apache Blvd	4jWZByIPL_S-UFczMuD3yw	17.0	Worth Visiting	Sweetest Season	5.0	4.8	27
56	1810 W Elliot Rd	7AbGkqgXXHhjktaXi_YmrA	98.0	Its your say finally!	Wendy's	2.0	1.9	20
57	1122 E Broadway Rd	KYb1uDE-knfgYf_u7mofaA	269.0	Its your say finally!	Sonic Drive-In	2.0	2.4	76
58	5 E Southern Ave	1wU_10DtV6aJbGT26kATuw	39.0	Its your say finally!	Burger King	2.0	1.9	19
59	825 W Baseline Rd, Ste 7	dCX6CvWGn8oiPSD_yxrm0Q	98.0	At your own risk	China Jade	3.0	3.3	122
60	1180 W Elliot, Ste 101	2GjI7LMmVBt0ZCC8HV4c6Q	11.0	Its your say finally!	Souper Salad	3.0	2.8	4
61	1801 East Guadalupe	xTBhu4RsILyo82lVPBMG8A	204.0	At your own risk	Taco Bell	4.0	3.6	17
62	825 W Baseline Rd, Ste 1	1x8_aJQ-iqvymhRK3SNbLg	123.0	At your own risk	Sharky's Tacos & Tequila	3.0	3.2	102
63	3141 S McClintock Dr, Ste 7	RpSo3IF05gZJdZcvrVntJA	88.0	Its your say finally!	Subway	3.0	2.7	14
64	3109 S Mill Ave	rz--nAbc7Jx91uQMPRZp8g	36.0	Worth Visiting	Subway	5.0	5.0	7
65	505 S Mill Ave	DEBqmgxv2yhJ93LqGpKltg	589.0	Worth Visiting	Earl Of Sandwich	4.0	3.8	113
66	225 E Apache Blvd	eDw3UUcM_T20WrsKldracw	194.0	At your own risk	International House of Pancakes	3.0	3.0	28
67	1212 E Apache Blvd	GdPWJo3z4ySEXpF7Wkn3FA	875.0	Must Visit!	Curry Corner	4.0	3.5	490
68	908 E Broadway Ave	O3PiNOj1vv5dCCywdw3_og	88.0	At your own risk	Panda Express	3.0	3.0	26
69	1139 W Broadway Rd	acUEny04AjPiKC3zRbDYYw	30.0	Its your say finally!	Burger King	3.0	2.7	13
70	1470 E Southern Ave	AZQKMMvX9m1-uTdLPMzK3g	1401.0	Must Visit!	Spokes On Southern	4.0	3.8	261
71	119 E Southern Ave	xdphjWZymq-3dqOWmA_wwA	263.0	Worth Visiting	Henry's Taiwan Kitchen	3.0	3.5	118
72	40 E University Dr	oxHmTO6MwNPs524_-J-FRQ	45.0	Worth Visiting	1865 Coffee	5.0	4.9	10
73	1625 W Fountainhead Pkwy	jAO8qYbiYZNbmhK8Knr9Mg	80.0	At your own risk	Rev Bistro	4.0	3.6	8
74	222 S Mill Ave	l_B0JtF2UraFqhDpp5go0Q	97.0	At your own risk	Corner Bakery Cafe	4.0	4.1	36
75	1290 S Normal Ave	aYdcqAQbQRSnSz-1Xp65LA	4.0	At your own risk	Chick-fil-A	3.0	3.2	4
76	149 S Farmer	8XFDd4uX-g5B4JJzIahPHg	1117.0	Worth Visiting	The Yard at Farmer Arts District	4.0	3.9	115
77	1639 E Apache Blvd	6-ZXctu-Duee3rGY3lC-uQ	57.0	At your own risk	Mandi House	4.0	3.8	47
78	414 S Mill Ave	aVKOO7rBVo2lCj-KElxp5Q	26.0	Its your say finally!	Hippies Cove	3.0	2.9	20
79	1755 E Broadway Rd	tWiFat101ID5w_wgAPMXhA	1912.0	Jewel of a place!	Ted's Hot Dogs	4.0	4.0	601
80	5004 S. Price Rd	laforpFQiWb1s3w9BtnR0w	2.0	Worth Visiting	Around the Board A Board Game Cafe	5.0	4.8	4
81	933 E University Dr, Ste 103	Wrd9LAbc8IOoAS5H6uw9sw	472.0	Worth Visiting	Delhi Palace Cuisine of India	4.0	3.6	199
82	955 E University Dr	U8rHQ_Sg8A2m291Y7WEfIg	1164.0	Worth Visiting	Devil's Advocate	4.0	3.5	179
83	216 E University Dr	ba4jRrqz6xlWgg0YIjAoAw	76.0	Its your say finally!	Barney's Boathouse	2.0	2.4	14
84	4 E University Dr	oLod-GlOLEH4KAvyddKuQQ	9.0	At your own risk	Sucker Punch Sally's Diner	3.0	2.8	46
85	603 W University Dr	MbAsfN3wwV22K7GZsgcBqA	450.0	Worth Visiting	Mucho Gusto Taqueria Mexican Bistro	3.0	3.5	148
86	3135 S 48th St	-2A9emZwBK8zYHPnAmM0hw	13.0	Its your say finally!	China Farm Chinese Buffet	3.0	2.7	9
87	440 W Warner Rd., Ste 104	-XW3Peaen5jsnvGRrue_Qw	67.0	At your own risk	My Big Fat Greek Express	4.0	3.8	12
88	727 E Tyler St	65f0pXB1bSwHH1Pi7kkryw	59.0	Its your say finally!	Bio Bistro	3.0	2.7	9
89	1740 E Broadway, Ste 109	V3erF_OvXVcp1HgQiRLQ1g	29.0	At your own risk	Pizza Hut	3.0	3.2	11
90	505 S Mill Ave	aZVtg450O51eenM25tDkEQ	1.0	Its your say finally!	La Pita Bar & Grill	2.0	2.4	5
91	2000 E Rio Salado Pkwy, Ste A-4	EL3cj9qG8CIS-sqS-t3dRw	7.0	Its your say finally!	Teriyaki Experience	3.0	2.6	10
92	1616 W Ruby Dr	Xw2o0GKWxDRMFPR0a4IOoQ	205.0	At your own risk	Life Cafe	4.0	3.5	13
93	2700 W Baseline Rd	s_LBvWoe1Vsfhw3vdmiLuw	21.0	Its your say finally!	Chinatown Restaurant	2.0	2.4	17
94	1001 E 8th St	lm3DeasThkVSve9HAEBkpg	41.0	Its your say finally!	Rocky Point Cantina	2.0	2.5	6
95	1805 E Elliot Rd, Ste 106	GC9Re0tKAnecMww3DB638g	56.0	At your own risk	Jalsa Ice Cream and Bakery	4.0	3.8	40
96	3135 S 48th St, Ste 102	N_ML37GOTOLtGKWqRnbJRA	72.0	At your own risk	Big Wa Chinese	4.0	3.5	54
97	1628 E Southern Ave, Ste 2	LEYZb8jiD36RQTElxy0YrQ	434.0	Worth Visiting	Back East Bagels	3.0	3.5	153
98	777 S College Ave	GB6bZTCMmqZncRSxurNblA	64.0	At your own risk	Nocawich	4.0	4.0	49
99	Apache  Terrace Rd	CIU0NCEOof6qF6AasxUvTA	4.0	Worth Visiting	Vaquero's	5.0	5.0	3
100	510 W Broadway Rd	l3bmBkr8_Pw3G-QkX0tPrw	587.0	Worth Visiting	Tasty Thai Restaurant	4.0	4.0	139
101	1301 E. Broadway Rd.	Z890syqhhoShqFnIyIu9EA	803.0	At your own risk	Native Grill & Wings	3.0	2.9	163
102	930 W Broadway Rd, Ste 1	naY7HcWB4kkHBmxOcOl0ag	303.0	At your own risk	Sub Factory	4.0	3.5	48
103	1158 W Washington St, Ste 105	62HZvu4RyAnhRswWn3e7qA	175.0	At your own risk	Haiku Grill	3.0	3.0	44
104	1212 E Apache Blvd	wnKcNv7wHfZpTIALz64BQQ	121.0	Worth Visiting	Hangover Hoagies	5.0	4.6	52
105	6428 S McClintock Dr	cBZi2dtlWywtSDver2h0fQ	9.0	At your own risk	Wildflower Restaurant & bakery	3.0	3.4	5
106	6022 S McClintock Dr	SYKIUCvN9JdSkVampgccfA	282.0	Worth Visiting	Amados Mexican Food	4.0	3.7	97
107	909 E Broadway Rd	Oj6W90G1ZVay9cRl6_uKXg	363.0	At your own risk	Applebee's Neighborhood Grill & Bar	3.0	2.6	105
108	1528 E Southern Ave	h-Oq86DZfZad9kKXe8m7Lg	550.0	Must Visit!	Los Reyes De La Torta	4.0	4.0	209
109	1324 S Rural Rd	sEvsx89wie9oSU5AlvCBGg	207.0	At your own risk	Costa Vida Fresh Mexican Grill	4.0	3.5	72
110	1340 E Broadway Rd, Ste 105	-IZvuqxekWEvJqDw308daQ	920.0	Worth Visiting	Los Favoritos Tacos Shop	4.0	3.5	174
111	625 E Baseline Rd	J1gvlBxU7_YqgYDHTQIgbA	35.0	At your own risk	McDonald's	3.0	3.0	12
112	5000 Arizona Mills Cir	H7PB7JoyEkr2RBMt5SjxLw	2.0	Its your say finally!	Nathans Famous Hotdogs	2.0	2.0	3
113	5235 S Kyrene Rd, Ste 104	Chv2JIBZ4nxz19u9A5BZ8w	54.0	At your own risk	Nacho Mamas	3.0	3.4	29
114	219 E Baseline St, Ste H001	ZHQU79PMUGCX0fEoyCcWlw	408.0	Worth Visiting	Caribbean Spice	4.0	3.6	211
115	414 W University Dr	TkgEHV_4Qmamb_wUvkgdTg	118.0	At your own risk	Biscuits Cafe	4.0	3.9	39
116	680 S Mill Ave	E_eIph8IT10Uo06ZdWwoUw	2075.0	Worth Visiting	The Handlebar Tempe	3.0	3.5	269
117	1400 S McClintock Dr, Ste 14	In1B_y225-bJw3jfbk1uAA	8.0	At your own risk	Ako International Market	4.0	4.3	3
118	1813 E Southern Ave	bhosqo-Q1xp67iLqrd1Rbw	50.0	Its your say finally!	Papa John's Pizza	2.0	2.5	20
119	411 S  Mill Ave, Ste 102	21fK0m8sQFbRQv3RlskE2w	191.0	At your own risk	Corleone's	3.0	3.1	114
120	1135 E Apache Blvd	8B1TIuaqhaZ7QMEhDUu-Gg	1229.0	Must Visit!	D'Lite Healthy On The Go	4.0	4.1	235
121	922 E Apache Blvd	6_lNZXYsz0SIOakNyBF0zQ	186.0	Worth Visiting	Brosenbrus Cafe	4.0	4.2	44
122	SCNM Southwest College of Naturopathic Medicine, 2152 E Broadway Rd	zpf-9NlOGSGGIIbJLO27eg	45.0	At your own risk	Nourish	4.0	3.8	25
123	1849 N Scottsdale Rd	Gtw-SpnhyNa0TwNETlysyw	62.0	At your own risk	Southern Spice	3.0	3.4	28
124	1138 E Baseline Rd	o56LV-WnalGB0URVvoOh4A	29.0	At your own risk	Lychee Inn	4.0	3.8	22
125	5144 S Rural Rd	lgIa0COVEmsiFI_ZWXn6_g	89.0	Its your say finally!	McDonald's	2.0	2.0	9
126	524 W University Dr	H94fBucKEuNKsjbSy7WODg	178.0	Worth Visiting	Little Szechuan	4.0	3.8	187
127	1805 E Elliot Rd	6ylM5QEoE24BR83RtuKHNg	2.0	At your own risk	Luigi's Pizza	4.0	3.7	3
128	1415 West Elliot Road	-wUKgQXAMC4H5hiBOgpT6g	156.0	At your own risk	Taco Bell	3.0	2.9	25
129	1845 E Broadway Rd	S1jjDv8mwJ4psGQA4b8RjA	35.0	At your own risk	Memo's Cafe	4.0	3.9	22
130	2107 S Rural Rd	rBTlmcEEQka-7cdU6ByrYg	10.0	At your own risk	Maya New York Pizza & Grill	3.0	3.4	37
131	1020 S Mill Ave, Ste A	lC2hnEYBN_97HXDQnpGpZA	109.0	Worth Visiting	King Coffee	5.0	4.6	64
132	502 S College	2fsJzlV09zPV12wT037pig	141.0	At your own risk	Dave's Electric Brewpub	3.0	2.8	52
133	804 South Mcclintock Ave	6YrmJ_pxLSTabcM_FFZhlQ	139.0	At your own risk	Wienerschnitzel	3.0	3.2	42
134	1043 E Lemon St	0zTLMQOZhiCp9GFtegiFsw	259.0	Worth Visiting	Kohinoor Cuisine of India	4.0	3.7	214
135	5394 S Lakeshore Dr	wL-wZmYgogR2jtwMMBisUw	4.0	At your own risk	Boathouse	4.0	4.3	3
136	2000 E Rio Salado Pkwy	Jc2X0JqdBupkOzTPZtbcWA	3.0	At your own risk	Cheeburger Cheeburger	3.0	3.4	40
137	1821 W Baseline Rd	8DAPLb2_IIFGfD8ltw0NBQ	43.0	Its your say finally!	Taco Migo	3.0	2.8	15
138	Tempe Marketplace, 2000 E Rio Salado Pkwy	2qlaSFyYFuzEo76jaL_ghQ	11.0	At your own risk	Stella's Kitchen	3.0	3.0	9
139	1290 S Normal Ave	TWSKXlz2niDh9Pyuj90Dng	185.0	At your own risk	Engrained Cafe	4.0	3.9	35
140	11 E 6th St	futvxFkM42RYxXr8ROogBQ	430.0	Worth Visiting	The Munchies Cafe	4.0	3.9	123
141	9955 S Priest Dr	ljD9NsZzpLAsX9yva7lqJw	78.0	Its your say finally!	McDonald's	2.0	2.2	18
142	1845 E University Dr	w3XZf4qnRUE3cSQZVcaSMw	353.0	Worth Visiting	Kona 13 Coffee & Tea	5.0	4.5	96
143	2700 W Baseline Rd, Ste 103-104	jNLfGkcspKdHjnz7c_zrLQ	5.0	Its your say finally!	Wingstop	2.0	1.8	12
144	2155 E University Dr	SkZ7f-zFsKrthhhppDn6Tg	13.0	At your own risk	Arlie's Bar & Grill	4.0	4.2	18
145	528 W Broadway Rd	d3C5QTYpZCdp2pV1Cq5G_g	7.0	At your own risk	Mr Goodcents Subs & Pastas	3.0	2.9	12
146	1994 W Baseline Rd	WMcNyg68PVCwWQH_pOl6WA	238.0	At your own risk	Denny's	3.0	2.9	54
147	521 S College Ave, Ste 9	mbV5FSZjiUViAdwcYRY0Rw	115.0	At your own risk	Dickey's BBQ Pit	3.0	3.2	48
148	839 W University Dr	aXsmmtepl0JZNcl3pkXqww	417.0	Worth Visiting	Sacks Sandwiches - Hardy	4.0	4.1	99
149	777 S College Ave	CMx3FbuKpEIUNUMyQdKncw	17.0	Its your say finally!	Extreme Pita	2.0	2.3	6
150	960 W University Dr	6QIzCTSZfXL3r2mIWn58bQ	8.0	Its your say finally!	Cafe Roma	2.0	2.3	6
151	15 W 5th St	9jOGMcH1pxDDhgSMLBnb-g	135.0	At your own risk	Thirsty Dog 2 Go	4.0	3.8	46
152	35 S McClintock Dr	vJvEKFtQ8Am95tWEkiwOGA	757.0	Must Visit!	King's Fish House - Tempe	4.0	3.5	302
153	933 E University Dr	7NXSKpruXOrm9_INkZAFEQ	29.0	Worth Visiting	Chix Char Broiled Grill	4.0	4.5	11
154	1619 W Baseline Rd	E3ODMVUoz27BJ17r58E-5g	117.0	Its your say finally!	Popeyes Louisiana Kitchen	3.0	2.6	27
155	815 E Baseline Rd, Ste B113	I-VD-o4JDGSG5GHQ2EbrVA	844.0	Worth Visiting	Smashburger	3.0	3.2	197
156	2000 E Rio Salado Pkwy	hAioxEk3WU-SzlqIM4TI7w	36.0	At your own risk	Maria Maria	3.0	3.0	90
157	1743 E Broadway	ad0LjmuXhUGBxTSkve5LZA	373.0	Must Visit!	Beaver Choice	4.0	4.4	180
158	21 E 6th St, Ste 146	awPIH7K4WA5BKJfiQlZcow	539.0	At your own risk	Bison Witches Bar & Deli	3.0	3.3	118
159	3320 S Priest Dr	l9B72QwKjUhEA-pLumCa5w	185.0	At your own risk	Golden Egg Roll	3.0	3.4	96
160	1845 E Broadway Rd, Ste 101	-8QlV3b_9H4BAh6LgMIr1g	432.0	Jewel of a place!	Nandini Indian Cuisine	4.0	4.2	436
161	7520 S Rural Rd, Ste A7	eiywQMru9IZF-Bq_IplyJg	4.0	At your own risk	Tempe Water & Ice Store	4.0	4.0	4
162	7520 S Rural Rd	pa-C-Vsk9ntuXBGjTr0tBQ	388.0	Worth Visiting	P.croissants	4.0	3.6	156
163	9 E Southern Ave	lCxtNddU4aDWMCgnzRYbsw	63.0	Worth Visiting	Paldo Market	4.0	4.5	23
164	725 S Rural Rd, Ste 103	nChi_8Gygb6NUMa_kg_tlQ	289.0	Worth Visiting	Asian Fusion Cafe	4.0	3.8	85
165	1490 E Weber Dr	OJBn0HFMvVB9TDcr4OLttw	38.0	Worth Visiting	Singh Meadows	5.0	4.6	16
166	9845 S Priest Dr	9U6K2_IImm3nYTna_69fFw	27.0	At your own risk	Steakies Cheesesteaks	3.0	3.4	28
167	2000 E Rio Salado Pkwy	KMYLwjpx6cjanynnc4mJvw	49.0	At your own risk	Yum Yum China	3.0	2.9	18
168	744 W Elliot Rd	x5vSE0-NO_YSZtOnitLWuQ	247.0	At your own risk	Gandolfo's New York Delicatessen	3.0	3.2	100
169	2107 S Rural Rd	S7d4PCHIl2uO2hLxSHASqQ	47.0	At your own risk	Jamie's Pizza and Pitas	3.0	3.2	48
170	605 S Mill Ave	0aSvr56wz4gRAA5TtV7_Tw	613.0	At your own risk	Zuma Grill	3.0	2.5	80
171	9845 S Priest Dr, Ste 103	f0pIB6KkSRxc1mxPG70ACQ	201.0	At your own risk	NYPD Pizza	4.0	3.9	45
172	1730 E Warner Rd	8dolrPYCAgqzPzZCv23lvQ	27.0	Worth Visiting	Scotti's Market & Eatery	4.0	4.5	34
173	690 S Mill Ave	Vrwc9RPievPfQl4VCReXow	1.0	Its your say finally!	Uno's	2.0	2.5	11
174	2314 E Apache Blvd	lOW5kH6nHVOYfmoAfpWvHw	231.0	Worth Visiting	Miu's Cuisine	4.0	3.9	88
175	1927 E Ellis Dr	nn8RDkUz0cWLcEhuga4f7Q	1.0	Worth Visiting	Handy AZ Man	5.0	4.7	15
176	200 E 5th St	u22akZ9o7DPQ3En_9AQ1lg	36.0	At your own risk	Revo Pizzabar	4.0	3.7	30
177	222 S Mill Ave	HkbNItNrnXlNo59M0YyoMg	807.0	Worth Visiting	Loco Patron	4.0	3.6	186
178	301 E Orange Mall	89Tgq6_T1m8CQ-8l_VPcDQ	5.0	Its your say finally!	Pitchforks Restaurant	3.0	2.7	3
179	1801 E Baseline Rd, Ste 104	x_SK4kvfWdCDDBmA_ErxqA	26.0	At your own risk	Pasand	3.0	3.0	35
180	1537 W Broadway Rd	rXceWs_H4PLmY99rGcbk6w	31.0	At your own risk	Jersey Mike's Subs	3.0	3.2	20
181	1202 W Broadway Rd	QprcsinZiEmrE3fNtzpyDg	10.0	At your own risk	Long John Silver's	3.0	3.3	3
182	715 S Rural Rd, Ste 107	ZDE5QPR5Q9sL50bhK3qv1A	16.0	At your own risk	McAlister's Deli	4.0	4.3	11
183	640 S Mill Ave, Ste 120	1Z4_zSITNVQ_Bt027R0S1g	1556.0	Worth Visiting	Robbie Fox's Public House	4.0	3.6	128
184	780 W Elliot Rd	jbwyl98wXrEKDkgFz2PiwQ	456.0	At your own risk	Jimmy John's	3.0	3.3	68
